,Review,Rating
0,Bad camera no use average watch,3
1,"It's amazing watch more features is available
Ok it's good produc





































Ok by",3
2,Love,5
3,Ghatiya watch ghatiya company dont buy this watch,1
4,Battery damage,5
5,Bad product,1
6,Very nice,4
7,Chaines mobile,3
8,Very bad prodect,1
9,"very very bad product and don't bye this
please friend dont waste money",1
10,"Nice product full happy my son, satisfied",5
11,"Very very bad quility , please don't buy this product .",1
12,"Waste prouduct don't buy pls
I got an old item waste
Waste prouduct
Don't cheat like this",1
13,very bad product don't order this product only West,1
14,Damage watch,1
15,Very nice,5
16,"The product features mentioned on flipkart are verry much but actual product has few of them no storage ,no wifi , no ram, blutooth disconnects in every 2 mints, after inserting my sim it didn't worked in my phone sim was permanent with the smart watch.


Verry poor product waste of money!!!!!!",1
17,Product not good deficult peace old piece,1
18,Good,3
19,"Bad product, not working",1
20,Bad for your time,3
21,Desi Sahab beautiful watch great,5
22,Bad,2
23,Nice,5
24,I don't like it,5
25,Very bad,2
26,Rubbish watch ... I return after 2 days because it's not working properly...,1
27,Very worsted product please don't buy this product,2
28,Fully Damage,1
29,"It's really amazing watch... Worth for money.... Nice aesthetic... Giving review of 1 day use...
1) battery is good,
2) call voice clearity is nice
3) camera is superb at dis price
4) brown colour I choosed it looks decent and show off wise go for it
5) most important not hanging and touch response is also good
6) as per description, they said sweat free strap yep it's nice.

I campared many watches online with it but yes ✅ I chooses good one.. Worth it.. Go for it",5
30,small kind of mobile and looks very smart in hand and there are many features .lt is also swaet prof nice camera and Display is hd.It connect with mobile by bluetooth and battery life 5hours.You must by less in cost but very good watch . my first choice.smart looking '.Different colour and silver is the most smart.it is very use full.you must by this watch. Irecomend this.,5
31,"This is a very good watch.When I was shopping online, I saw a good smart watch that I saw it so I liked it and found it by getting it done online.Thanks Flipkart",5
32,this is good looking,4
33,Value for money,5
34,Candle this order,5
35,good product,5
36,Nice watch,5
37,Nice Product,4
38,Best quality no bad issue,5
39,Nice colour,3
40,Excellent.. product,5
41,Good Product,5
42,SUPPORT 4G SIM,5
43,Smart watch very nice,5
44,I like it very much,5
45,Good product,3
46,Not very good no inter net,3
47,Very good product,5
48,Good,5
49,I love my watch,5
50,good choice,5
51,Nice product,5
52,your product is very bad i another time not believe on you,1
53,awsume smartwatch thank you flipkart,5
54,Its cool and nice but charging cable is too😤 small,5
55,Nice👍😊,5
56,This is very nice,5
57,It will work with jio,5
58,"When we keep watch to charge the battery will be to hot...
This is the problem of watch",3
59,Nice,5
60,Very bad product. not worth buying. Battery damages nearly after 2 months of normal use. Charges very fast and finishes very fast also. The thinking part is upto u.,1
61,"I am not able to open whatsapp, twitter, facebook and browser",1
62,Nice delivery by Flipkart,3
63,Good,4
64,This watch is waterproof,5
65,Nice,4
66,nice watch,5
67,This watch screen not work,5
68,nice,5
69,Supper watch,3
70,I like this watch,5
71,This mobile watch is very bad because it's belt is broken I wont to replace mobile watch,1
72,Waste oF MoNy,1
73,Plzz don't buy this.There is no option for watsupp and Facebook moreover battery life is too short and if you call somebody you can't hear voice.If you message somebody there is no full message get in your watch.,1
